Movie Title,Year,Duration,Genre,Rating
Australia,2008,165 min,"Adventure, Drama, Romance",6.6
The Birdcage,1996,117 min,Comedy,7.1
Rango,2011,107 min,"Animation, Action, Adventure",7.2
Eraser,1996,115 min,"Action, Crime, Thriller",6.1
Walk the Line,2005,136 min,"Biography, Drama, Music",7.8
War for the Planet of the Apes,2017,140 min,"Action, Adventure, Drama",7.4
Air Force One,1997,124 min,"Action, Drama, Thriller",6.5
The Bodyguard,1992,129 min,"Action, Drama, Music",6.3
Begin Again,2013,104 min,"Comedy, Drama, Music",7.4
A River Runs Through It,1992,123 min,Drama,7.2
The Descendants,2011,115 min,"Comedy, Drama",7.3
Meet the Parents,2000,108 min,"Comedy, Romance",7
Anna Karenina,2012,129 min,"Drama, Romance",6.6
The Theory of Everything,2014,123 min,"Biography, Drama, Romance",7.7
127 Hours,2010,94 min,"Biography, Drama",7.6
Before Sunset,2004,80 min,"Drama, Romance",8.1
Deepwater Horizon,2016,107 min,"Action, Drama, History",7.1
The Florida Project,2017,111 min,Drama,7.6
The Royal Tenenbaums,2001,110 min,"Comedy, Drama",7.6
Hellboy II: The Golden Army,2008,120 min,"Action, Adventure, Fantasy",7
Ferdinand,2017,108 min,"Animation, Adventure, Comedy",6.7
The Lego Movie,2014,100 min,"Animation, Action, Adventure",7.7
Being the Ricardos,2021,131 min,"Biography, Drama",6.5
Sound of Metal,2019,120 min,"Drama, Music",7.7
Something's Gotta Give,2003,128 min,"Comedy, Drama, Romance",6.7
Four Weddings and a Funeral,1994,117 min,"Comedy, Drama, Romance",7.1
A.I. Artificial Intelligence,2001,146 min,"Drama, Sci-Fi",7.2
My Big Fat Greek Wedding,2002,95 min,"Comedy, Drama, Romance",6.6
Cyrano,2021,123 min,"Drama, Musical, Romance",6.3
Out of Sight,1998,123 min,"Comedy, Crime, Drama",7
"I, Robot",2004,115 min,"Action, Mystery, Sci-Fi",7.1
Chocolat,2000,121 min,"Drama, Romance",7.3
Fried Green Tomatoes,1991,130 min,Drama,7.7
Before Midnight,2013,109 min,"Drama, Romance",7.9
Being John Malkovich,1999,113 min,"Comedy, Drama, Fantasy",7.8
Wild at Heart,1990,125 min,"Comedy, Crime, Drama",7.2
Tinker Tailor Soldier Spy,2011,127 min,"Drama, Mystery, Thriller",7
The Age of Innocence,1993,139 min,"Drama, Romance",7.2
Match Point,2005,124 min,"Drama, Romance, Thriller",7.6
Ralph Breaks the Internet,2018,112 min,"Animation, Adventure, Comedy",7
Click,2006,107 min,"Comedy, Drama, Fantasy",6.4
Superman Returns,2006,154 min,"Action, Adventure, Sci-Fi",6.1
L'amant,1992,115 min,"Biography, Drama, Romance",6.8
Philadelphia,1993,125 min,Drama,7.7
Hugo,2011,126 min,"Adventure, Drama, Family",7.5
Poseidon,2006,98 min,"Action, Adventure, Thriller",5.7
Hollow Man,2000,112 min,"Action, Horror, Sci-Fi",5.8
Onward,2020,102 min,"Animation, Adventure, Comedy",7.4
Munich,2005,164 min,"Action, Drama, History",7.5
Dawn of the Planet of the Apes,2014,130 min,"Action, Adventure, Drama",7.6
Rio,2011,96 min,"Animation, Adventure, Comedy",6.9
Rise of the Planet of the Apes,2011,105 min,"Action, Drama, Sci-Fi",7.6
Isle of Dogs,2018,101 min,"Animation, Adventure, Comedy",7.8
The King's Speech,2010,118 min,"Biography, Drama, History",8
The Perfect Storm,2000,130 min,"Action, Adventure, Drama",6.4
City Slickers,1991,113 min,"Comedy, Western",6.8
The Prince of Egypt,1998,99 min,"Animation, Adventure, Drama",7.1
Sideways,2004,127 min,"Comedy, Drama, Romance",7.5
Anastasia,1997,94 min,"Animation, Adventure, Drama",7.1
Traffic,2000,147 min,"Crime, Drama, Thriller",7.6
Maverick,1994,127 min,"Action, Adventure, Comedy",7
Fences,2016,139 min,Drama,7.2
A History of Violence,2005,96 min,"Action, Crime, Drama",7.4
Pleasantville,1998,124 min,"Comedy, Drama, Fantasy",7.5
The Bourne Ultimatum,2007,115 min,"Action, Mystery, Thriller",8
The Post,2017,116 min,Drama,7.2
Adaptation.,2002,115 min,"Comedy, Drama",7.7
Animal Kingdom,2010,113 min,"Crime, Drama",7.3
Transformers: Revenge of the Fallen,2009,149 min,"Action, Adventure, Sci-Fi",5.9
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,84 min,Comedy,7.3
Bolt,2008,96 min,"Animation, Adventure, Comedy",6.8
Inherent Vice,2014,148 min,"Comedy, Crime, Drama",6.6
Kung Fu Panda 2,2011,90 min,"Animation, Action, Adventure",7.2
The People vs. Larry Flynt,1996,130 min,"Biography, Drama",7.3
Life,1999,108 min,"Comedy, Crime, Drama",6.7
News of the World,2020,118 min,"Action, Adventure, Drama",6.8
Elizabeth,1998,124 min,"Biography, Drama, History",7.4
Foxcatcher,2014,134 min,"Biography, Drama, History",7
Pocahontas,1995,81 min,"Animation, Adventure, Drama",6.7
Maleficent: Mistress of Evil,2019,119 min,"Adventure, Family, Fantasy",6.6
Sabrina,1995,127 min,"Comedy, Drama, Romance",6.3
How to Train Your Dragon 2,2014,102 min,"Animation, Action, Adventure",7.8
Carol,2015,118 min,"Drama, Romance",7.2
Cliffhanger,1993,113 min,"Action, Adventure, Thriller",6.5
The Nightmare Before Christmas,1993,76 min,"Animation, Family, Fantasy",7.9
Joy,2015,124 min,"Biography, Drama",6.6
Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,2020,95 min,Comedy,6.6
Memoirs of a Geisha,2005,145 min,"Drama, Romance",7.3
That Thing You Do!,1996,108 min,"Comedy, Drama, Music",6.9
Awakenings,1990,121 min,"Biography, Drama",7.8
Bridget Jones's Diary,2001,97 min,"Comedy, Drama, Romance",6.7
Coming 2 America,2021,110 min,Comedy,5.3
Mary Poppins Returns,2018,130 min,"Adventure, Comedy, Family",6.7
The Tree of Life,2011,139 min,"Drama, Fantasy",6.8
Wild,2014,115 min,"Adventure, Biography, Drama",7.1
Minari,2020,115 min,Drama,7.4
Changeling,2008,141 min,"Biography, Crime, Drama",7.8
Eastern Promises,2007,100 min,"Crime, Drama, Thriller",7.6
Inside Llewyn Davis,2013,104 min,"Comedy, Drama, Music",7.4
"Hail, Caesar!",2016,106 min,"Comedy, Drama, Mystery",6.3
Under Siege,1992,103 min,"Action, Thriller",6.5
The Hunchback of Notre Dame,1996,91 min,"Animation, Drama, Family",7
Brooklyn,2015,117 min,"Drama, Romance",7.5
A Series of Unfortunate Events,2004,108 min,"Adventure, Comedy, Family",6.8
Shakespeare in Love,1998,123 min,"Comedy, Drama, History",7.1
Gräns,2018,110 min,"Crime, Drama, Fantasy",7
Amistad,1997,155 min,"Biography, Drama, History",7.3
Ghost World,2001,111 min,"Comedy, Drama",7.3
The Judge,2014,141 min,"Crime, Drama",7.4
Happy Feet,2006,108 min,"Animation, Adventure, Comedy",6.4
In the Line of Fire,1993,128 min,"Action, Crime, Drama",7.2
Monster's Ball,2001,111 min,"Drama, Romance",7.1
Sling Blade,1996,135 min,Drama,8
Election,1999,103 min,"Comedy, Romance",7.3
The Illusionist,2006,110 min,"Drama, Fantasy, Mystery",7.6
How the Grinch Stole Christmas,2000,104 min,"Comedy, Family, Fantasy",6.2
The Golden Compass,2007,113 min,"Adventure, Family, Fantasy",6.1
The First Wives Club,1996,103 min,Comedy,6.4
The Constant Gardener,2005,129 min,"Drama, Mystery, Romance",7.4
The Boss Baby,2017,97 min,"Animation, Adventure, Comedy",6.3
The Assassination of Jesse James by the Coward Robert Ford,2007,160 min,"Biography, Crime, Drama",7.5
August: Osage County,2013,121 min,"Comedy, Drama",7.2
Clear and Present Danger,1994,141 min,"Action, Crime, Drama",6.9
The Insider,1999,157 min,"Biography, Drama, Thriller",7.8
The Hours,2002,110 min,"Drama, Romance",7.5
In the Name of the Father,1993,133 min,"Biography, Crime, Drama",8.1
Hotel Rwanda,2004,121 min,"Biography, Drama, History",8.1
Billy Elliot,2000,110 min,"Drama, Music",7.7
The Good Shepherd,2006,167 min,"Drama, History, Thriller",6.7
Shark Tale,2004,90 min,"Animation, Adventure, Comedy",6
Trolls,2016,92 min,"Animation, Adventure, Comedy",6.4
Winter's Bone,2010,100 min,"Drama, Mystery",7.1
Christopher Robin,2018,104 min,"Adventure, Comedy, Drama",7.2
The Midnight Sky,2020,118 min,"Adventure, Drama, Sci-Fi",5.6
The Bridges of Madison County,1995,135 min,"Drama, Romance",7.6
Nobody's Fool,1994,110 min,"Comedy, Drama",7.3
Frida,2002,123 min,"Biography, Drama, Romance",7.3
Lars and the Real Girl,2007,106 min,"Comedy, Drama, Romance",7.3
The Adventures of Tintin,2011,107 min,"Animation, Action, Adventure",7.3
Glengarry Glen Ross,1992,100 min,"Crime, Drama, Mystery",7.7
Salt,2010,100 min,"Action, Thriller",6.4
Milk,2008,128 min,"Biography, Crime, Drama",7.5
Mary Queen of Scots,2018,124 min,"Biography, Drama, History",6.3
The Young Victoria,2009,105 min,"Biography, Drama, History",7.2
Emma,1996,120 min,"Comedy, Drama, Romance",6.6
Youth,2015,124 min,"Comedy, Drama, Music",7.3
Damage,1992,111 min,"Drama, Romance",6.7
My Best Friend's Wedding,1997,105 min,"Comedy, Drama, Romance",6.3
The Fisher King,1991,137 min,"Comedy, Drama, Fantasy",7.5
Jane Eyre,2011,120 min,"Drama, Romance",7.3
Unstoppable,2010,98 min,"Action, Thriller",6.8
Crimson Tide,1995,116 min,"Action, Drama, Thriller",7.3
Boys Don't Cry,1999,118 min,"Biography, Crime, Drama",7.5
Saving Mr. Banks,2013,125 min,"Biography, Comedy, Drama",7.5
The Crying Game,1992,112 min,"Crime, Drama, Romance",7.2
Hillbilly Elegy,2020,116 min,Drama,6.7
Jackie,2016,100 min,"Biography, Drama",6.7
The Croods,2013,98 min,"Animation, Adventure, Comedy",7.2
What Dreams May Come,1998,113 min,"Drama, Fantasy, Romance",6.9
Frankenstein,1994,123 min,"Drama, Horror, Romance",6.3
The Client,1994,119 min,"Crime, Drama, Mystery",6.7
Babel,2006,143 min,Drama,7.5
Addams Family Values,1993,94 min,"Comedy, Fantasy",6.8
The Book Thief,2013,131 min,"Drama, War",7.5
Steve Jobs,2015,122 min,"Biography, Drama",7.2
"The Adventures of Priscilla, Queen of the Desert",1994,104 min,"Comedy, Music",7.5
Rachel Getting Married,2008,113 min,"Drama, Romance",6.7
A Simple Plan,1998,121 min,"Crime, Drama, Thriller",7.5
First Reformed,2017,113 min,"Drama, Mystery, Thriller",7.1
Finding Neverland,2004,106 min,"Biography, Drama, Family",7.7
The Nutty Professor,1996,95 min,"Comedy, Romance, Sci-Fi",5.7
The Ghost and the Darkness,1996,110 min,"Adventure, Drama, Thriller",6.8
The Player,1992,124 min,"Comedy, Crime, Drama",7.5
Corpse Bride,2005,77 min,"Animation, Drama, Family",7.3
Babe,1995,91 min,"Comedy, Drama, Family",6.9
Defiance,2008,137 min,"Action, Drama, History",7.2
Backdraft,1991,137 min,"Action, Drama, Mystery",6.7
The Way Back,2010,133 min,"Adventure, Drama, History",7.3
Ray,2004,152 min,"Biography, Drama, Music",7.7
The Remains of the Day,1993,134 min,"Drama, Romance",7.8
Short Cuts,1993,188 min,"Comedy, Drama",7.7
The Imaginarium of Doctor Parnassus,2009,123 min,"Adventure, Comedy, Fantasy",6.8
Stuart Little,1999,84 min,"Adventure, Comedy, Family",6
Klaus,2019,96 min,"Animation, Adventure, Comedy",8.1
Monster House,2006,91 min,"Animation, Comedy, Family",6.6
Crazy Heart,2009,112 min,"Drama, Music, Romance",7.2
21 Grams,2003,124 min,"Crime, Drama, Thriller",7.7
Notes on a Scandal,2006,92 min,"Crime, Drama, Romance",7.4
Charlie Wilson's War,2007,102 min,"Biography, Comedy, Drama",7
Malcolm X,1992,202 min,"Biography, Drama, History",7.7
Kaze tachinu,2013,126 min,"Animation, Biography, Drama",7.7
Star Trek: First Contact,1996,111 min,"Action, Adventure, Drama",7.6
Chaplin,1992,143 min,"Biography, Comedy, Drama",7.5
Cinderella Man,2005,144 min,"Biography, Drama, Romance",8
Judy,2019,118 min,"Biography, Drama, Romance",6.8
Julie & Julia,2009,123 min,"Biography, Drama, Romance",7
Star Trek VI: The Undiscovered Country,1991,110 min,"Action, Adventure, Sci-Fi",7.2
Young Guns II,1990,104 min,"Action, Western",6.5
The Full Monty,1997,91 min,"Comedy, Drama",7.2
The Last King of Scotland,2006,123 min,"Biography, Drama, History",7.6
James and the Giant Peach,1996,79 min,"Animation, Adventure, Family",6.7
A Single Man,2009,99 min,"Drama, Romance",7.5
Brother Bear,2003,85 min,"Animation, Adventure, Comedy",6.8
"South Park: Bigger, Longer & Uncut",1999,81 min,"Animation, Comedy, Fantasy",7.7
War Horse,2011,146 min,"Action, Adventure, Drama",7.2
An Education,2009,100 min,Drama,7.3
Da 5 Bloods,2020,154 min,"Adventure, Drama, War",6.5
Extremely Loud & Incredibly Close,2011,129 min,"Adventure, Drama, Mystery",6.9
A Serious Man,2009,106 min,"Comedy, Drama",7
Girl with a Pearl Earring,2003,100 min,"Biography, Drama, Romance",6.9
The Ides of March,2011,101 min,"Drama, Thriller",7.1
Lust och fägring stor,1995,130 min,"Drama, Romance, War",6.9
Space Cowboys,2000,130 min,"Action, Adventure, Thriller",6.5
The American President,1995,114 min,"Comedy, Drama, Romance",6.8
The Cider House Rules,1999,126 min,"Drama, Romance",7.4
All the Money in the World,2017,132 min,"Biography, Crime, Drama",6.8
Doubt,2008,104 min,"Drama, Mystery",7.5
Rabbit Hole,2010,91 min,Drama,7
The Muppets,2011,120 min,"Adventure, Comedy, Family",7.1
The Wolfman,2010,103 min,"Drama, Fantasy, Horror",5.8
Mudbound,2017,134 min,"Drama, War",7.4
Lunana: A Yak in the Classroom,2019,110 min,"Drama, Family",7.4
Puss in Boots,2011,90 min,"Animation, Adventure, Comedy",6.6
About a Boy,2002,101 min,"Comedy, Drama, Romance",7.1
Capote,2005,114 min,"Biography, Crime, Drama",7.3
Still Alice,2014,101 min,Drama,7.5
Quills,2000,124 min,"Biography, Drama",7.3
A Civil Action,1998,115 min,Drama,6.6
At Eternity's Gate,2018,111 min,"Biography, Drama, History",6.9
A Mighty Wind,2003,91 min,"Comedy, Music",7.2
Rob Roy,1995,139 min,"Adventure, Biography, Drama",6.9
Dancer in the Dark,2000,140 min,"Crime, Drama, Musical",7.9
Invictus,2009,134 min,"Biography, Drama, History",7.3
The Commitments,1991,118 min,"Comedy, Drama, Music",7.6
The Queen,2006,103 min,"Biography, Drama",7.3
Spirit: Stallion of the Cimarron,2002,83 min,"Animation, Adventure, Drama",7.1
Precious,2009,110 min,Drama,7.3
The Straight Story,1999,112 min,"Biography, Drama",8
Secrets & Lies,1996,136 min,"Comedy, Drama",8
Velvet Goldmine,1998,118 min,"Drama, Music",6.9
Bicentennial Man,1999,132 min,"Comedy, Drama, Sci-Fi",6.9
Florence Foster Jenkins,2016,111 min,"Biography, Comedy, Drama",6.8
Daylight,1996,114 min,"Action, Adventure, Drama",5.9
The Crucible,1996,124 min,"Drama, History",6.8
The Duchess,2008,110 min,"Biography, Drama, History",6.9
The Black Dahlia,2006,121 min,"Crime, Drama, Mystery",5.6
Barton Fink,1991,116 min,"Comedy, Drama, Thriller",7.6
August Rush,2007,114 min,"Drama, Music",7.4
A Little Princess,1995,97 min,"Drama, Family, Fantasy",7.6
Dead Man Walking,1995,122 min,"Crime, Drama",7.5
House of Sand and Fog,2003,126 min,"Crime, Drama",7.5
Seabiscuit,2003,140 min,"Drama, History, Sport",7.3
Mirror Mirror,2012,106 min,"Adventure, Comedy, Drama",5.6
Howards End,1992,142 min,"Drama, Romance",7.4
The Polar Express,2004,100 min,"Animation, Adventure, Comedy",6.6
Surf's Up,2007,85 min,"Animation, Adventure, Comedy",6.7
Dreamgirls,2006,130 min,"Drama, Music, Musical",6.5
Kinsey,2004,118 min,"Biography, Drama, Romance",7.1
Breaking the Waves,1996,159 min,Drama,7.8
What's Love Got to Do with It,1993,118 min,"Biography, Drama, Music",7.3
United 93,2006,111 min,"Action, Drama, History",7.6
In the Loop,2009,106 min,Comedy,7.4
Patch Adams,1998,115 min,"Biography, Comedy, Drama",6.8
Elizabeth: The Golden Age,2007,114 min,"Biography, Drama, History",6.8
Bugsy,1991,136 min,"Biography, Crime, Drama",6.8
Dirty Pretty Things,2002,97 min,"Crime, Drama, Thriller",7.3
Once,2007,86 min,"Drama, Music, Romance",7.8
"Roman J. Israel, Esq.",2017,122 min,"Crime, Drama, Thriller",6.5
The Kids Are All Right,2010,106 min,"Comedy, Drama, Romance",7
The Sessions,2012,95 min,"Biography, Comedy, Drama",7.2
I Am Sam,2001,132 min,Drama,7.6
The Two Popes,2019,125 min,"Biography, Comedy, Drama",7.6
Harriet,2019,125 min,"Action, Biography, Drama",6.6
Syriana,2005,128 min,"Drama, Thriller",6.9
I'm Not There,2007,135 min,"Biography, Drama, Music",6.8
In & Out,1997,90 min,"Comedy, Romance",6.4
Henry & June,1990,136 min,"Biography, Drama",6.3
The Field,1990,107 min,"Drama, Thriller",7.3
Flatliners,1990,115 min,"Drama, Horror, Sci-Fi",6.5
Ali,2001,157 min,"Biography, Drama, Sport",6.7
Loving,2016,123 min,"Biography, Drama, Romance",7
The Curse of the Were-Rabbit,2005,85 min,"Animation, Adventure, Comedy",7.5
Over the Moon,2020,95 min,"Animation, Adventure, Comedy",6.3
North Country,2005,126 min,Drama,7.3
DragonHeart,1996,103 min,"Action, Adventure, Fantasy",6.4
Letters from Iwo Jima,2006,141 min,"Action, Adventure, Drama",7.9
Hamlet,1996,242 min,Drama,7.8
WolfWalkers,2020,103 min,"Animation, Adventure, Family",8
Anonymous,2011,130 min,"Drama, Thriller",6.8
20th Century Women,2016,119 min,"Comedy, Drama",7.3
Don Juan DeMarco,1994,97 min,"Comedy, Drama, Romance",6.7
Mr. Holland's Opus,1995,143 min,"Drama, Music",7.3
Fearless,1993,122 min,"Drama, Thriller",7.1
Kubo and the Two Strings,2016,101 min,"Animation, Action, Adventure",7.7
La Vie en Rose,2007,140 min,"Biography, Drama, Music",7.6
One Fine Day,1996,108 min,"Comedy, Drama, Romance",6.5
Poetic Justice,1993,109 min,"Drama, Romance",6
Mr. Turner,2014,150 min,"Biography, Drama, History",6.8
Philomena,2013,98 min,"Biography, Comedy, Drama",7.6
Kate & Leopold,2001,118 min,"Comedy, Fantasy, Romance",6.4
One Night in Miami...,2020,114 min,Drama,7.1
Trumbo,2015,124 min,"Biography, Drama",7.4
The Squid and the Whale,2005,81 min,"Comedy, Drama",7.3
Loving Vincent,2017,94 min,"Animation, Biography, Crime",7.8
Io sono l'amore,2009,120 min,"Drama, Romance",7
Mighty Aphrodite,1995,95 min,"Comedy, Drama, Fantasy",7
U-571,2000,116 min,"Action, War",6.6
Ma Rainey's Black Bottom,2020,94 min,"Drama, Music",6.9
My Week with Marilyn,2011,99 min,"Biography, Drama",6.9
Can You Ever Forgive Me?,2018,106 min,"Biography, Comedy, Crime",7.1
Postcards from the Edge,1990,101 min,"Comedy, Drama",6.7
Amour,2012,127 min,Drama,7.9
Six Degrees of Separation,1993,112 min,"Comedy, Drama, Mystery",6.8
Flags of Our Fathers,2006,135 min,"Action, Adventure, Drama",7.1
Wag the Dog,1997,97 min,"Comedy, Drama",7.1
About Schmidt,2002,125 min,"Comedy, Drama",7.2
The White Tiger,2021,125 min,"Crime, Drama",7.1
W.E.,2011,119 min,"Drama, History, Romance",6.1
Fly Away Home,1996,107 min,"Adventure, Drama, Family",6.9
Anomalisa,2015,90 min,"Animation, Comedy, Drama",7.2
The Hurricane,1999,146 min,"Biography, Drama, Sport",7.6
Four Good Days,2020,100 min,Drama,6.4
If Beale Street Could Talk,2018,119 min,"Drama, Romance",7.1
